貸借対照表（投資信託受益証券）,,,,,,,,,,,,,,,,,,,,,,
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
-,貸借対照表,貸借対照表、タイトル項目,,,連結貸借対照表[標準],四半期貸借対照表[標準],四半期連結貸借対照表[標準],中間貸借対照表[標準],中間連結貸借対照表[標準],Balance sheets,,,jpfr-t-cte,BalanceSheetsAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,0
A,資産の部,資産の部、タイトル項目,,,,,,,,Assets,,,jpfr-t-cte,AssetsAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,1
A,流動資産,流動資産、タイトル項目,,,,,,,,Current assets,,,jpfr-t-cte,CurrentAssetsAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,2
A,預金,預金、流動資産、投資信託,,,,,,,,Deposits,,,jpfr-t-fnd,DepositsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,金銭信託,金銭信託、流動資産、投資信託,,,,,,,,Money held in trust,,,jpfr-t-fnd,MoneyHeldInTrustCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,コール・ローン,コール・ローン、流動資産、投資信託,,,,,,,,Call loans,,,jpfr-t-fnd,CallLoansCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,抵当証券,抵当証券、流動資産、投資信託,,,,,,,,Mortgage securities,,,jpfr-t-fnd,MortgageSecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,金銭債権,金銭債権、流動資産、投資信託,,,,,,,,Monetary claim,,,jpfr-t-fnd,MonetaryClaimCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,約束手形,約束手形、流動資産、投資信託,,,,,,,,Promissory note,,,jpfr-t-fnd,PromissoryNoteCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,信託受益権,信託受益権、流動資産、投資信託,,,,,,,,Trust beneficiary right,,,jpfr-t-fnd,TrustBeneficiaryRightCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,受益証券発行信託の受益証券,受益証券発行信託の受益証券、流動資産、投資信託,,,,,,,,Money trust beneficiary right,,,jpfr-t-fnd,MoneyTrustBeneficiaryRightCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,株式,株式、流動資産、投資信託,,,,,,,,Stocks,,,jpfr-t-fnd,StocksCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
B,新株予約権証券,新株予約権証券、流動資産、投資信託,,,,,,,,Warrant,,,jpfr-t-fnd,WarrantCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,国債証券,国債証券、流動資産、投資信託,,,,,,,,Government bonds,,,jpfr-t-fnd,GovernmentBondsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,地方債証券,地方債証券、流動資産、投資信託,,,,,,,,Municipal bonds,,,jpfr-t-fnd,MunicipalBondsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,特殊債券,特殊債券、流動資産、投資信託,,,,,,,,Special bonds,,,jpfr-t-fnd,SpecialBondsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,社債券,社債券、流動資産、投資信託,,,,,,,,Corporate bonds,,,jpfr-t-fnd,CorporateBondsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
B,投資信託受益証券,投資信託受益証券、流動資産、投資信託,,,,,,,,Security investment trust beneficiary securities,,,jpfr-t-fnd,SecurityInvestmentTrustBeneficiarySecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,投資証券,投資証券、流動資産、投資信託,,,,,,,,Investment securities,,,jpfr-t-fnd,InvestmentSecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,その他有価証券,その他有価証券、流動資産、投資信託,,,,,,,,Other securities,,,jpfr-t-fnd,OtherSecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,親投資信託受益証券,親投資信託受益証券、流動資産、投資信託,,,,,,,,Parents trust beneficiary securities,,,jpfr-t-fnd,ParentsTrustBeneficiarySecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
B,コマーシャル・ペーパー,コマーシャル・ペーパー、流動資産、投資信託,,,,,,,,Commercial papers,,,jpfr-t-fnd,CommercialPapersCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,商品,商品、流動資産、投資信託,,,,,,,,Commodity,,,jpfr-t-fnd,CommodityCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,コール・オプション（買）,コール・オプション（買）、流動資産、投資信託,,,,,,,,Call option,,,jpfr-t-fnd,CallOptionCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,プット・オプション（買）,プット・オプション（買）、流動資産、投資信託,,,,,,,,Put option,,,jpfr-t-fnd,PutOptionCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,派生商品評価勘定,派生商品評価勘定、流動資産、投資信託,,,,,,,,Derivative evaluation account,,,jpfr-t-fnd,DerivativeEvaluationAccountCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,現先取引勘定,現先取引勘定、流動資産、投資信託,,,,,,,,Gensaki transaction account,,,jpfr-t-fnd,GensakiTransactionAccountCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,未収入金,未収入金,,未収入金[標準|業],,,,,,Accounts receivable-other,,Accounts receivable[標準|業],jpfr-t-cte,AccountsReceivableOther,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,信用取引預け金,信用取引預け金、流動資産、投資信託,,,,,,,,Deposits for margin transaction,,,jpfr-t-fnd,DepositsForMarginTransactionCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,未収配当金,未収配当金、流動資産、投資信託,,,,,,,,Accrued dividend receivable,,,jpfr-t-fnd,AccruedDividendReceivableCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,未収利息,未収利息,,,,,,,,Accrued interest,,,jpfr-t-cte,AccruedInterest,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,前払金,前払金、流動資産、投資信託,,,,,,,,Advance payments,,,jpfr-t-fnd,AdvancePaymentsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,前払費用,前払費用,,,,,,,,Prepaid expenses,,,jpfr-t-cte,PrepaidExpenses,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,その他未収収益,その他未収収益、流動資産、投資信託,,,,,,,,Other accrued revenue,,,jpfr-t-fnd,OtherAccruedRevenueCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
